OBJECTID,ID,LENGTH,AFC_NUMBER,ROADTYPE,NUMBER,PRIMARY_NA,ALT_NAME_1,ALT_NAME_2,LOCAL_NAME,STATE,CCSTYLE,ALTFUEL_RO,EV_ROUND,EV,ELECTRICVE,CNG_ROUND,CNG,COMNATURAL,LNG_ROUND,LNG,LIQNATURAL,LPG_ROUND,LPG,PROPANE,HY_ROUND,HY,HYDROGEN,Len_miles,Not_NHS,ShapeSTLength
1,36,22.11,32,S,32,S32, , ,KAAHUMANU AV,HI,4,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,22.10888595,0,38204.212078053
2,48,78.51,11,S,11,S11, , ,Hawaii Belt Rd (Mamalahoa Hwy),HI,4,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,78.50663752,1,133877.037947584
3,51,40.88,200,S,200,S200, , ,Kaumana Dr,HI,4,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,40.87548491,1,68743.7857942732
4,58,44.12,19,S,19,S19, , ,Hawaii Belt Rd,HI,4,2,2,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,44.11534287,0,74457.3910461347
5,46,32.51,19,S,19,S19, , ,Queen Kaahumanu Hwy,HI,4,2,2,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,32.50510103,0,56329.2747110063
6,47,32.42,190,S,190,S190, , ,Palani Rd,HI,4,2,2,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,32.42307664,1,55457.7504502909
7,50,10.96,200,S,200,S200, , ,Saddle Rd,HI,4,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,10.96274661,1,19175.5569847718
8,55,34.55,360,S,360,S360, , ,HANA HWY,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,34.55074739,1,59442.142835342
9,35,7.15,440,S,440,S440, , , ,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,7.14738814,1,12448.0922280486
10,34,6.1,440,S,440,S440, , , ,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,6.10305666,1,10414.2083707815
11,37,16.23,31,S,31,S31, , ,PIILANI HWY,HI,4,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,16.22770913,0,28660.2870363687
12,42,8.77,37,S,37,S37, , ,HALEAKALA HWY,HI,4,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,8.77481592,0,15036.100397569
13,43,6.69,H390,S,H390,S390, , ,BALDWIN AV,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,6.68864707,1,11511.0288421444
14,44,9.07,36,S,36,S36, , ,HANA HWY,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,9.06627101,1,15490.056196199
15,38,2.81,340,S,340,S340, , ,KAHULUI BEACH RD,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,2.81114108,1,4882.52742052306
16,40,3.19,36,S,36,S36, , ,HANA HWY,HI,4,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,3.18999198,0,5432.01653711862
17,41,3.81,36,S,36,S36, , ,HANA HWY,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,3.8107052,1,6523.27909789471
18,39,0.39,32,S,32,S32, , ,KAAHUMANU AV,HI,4,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,0.38741335,0,654.021989335068
19,45,23.94,11,S,11,S11, , ,Kuakini Hwy,HI,4,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,23.94467103,1,42064.1735057822
20,49,9.84,200,S,200,S200, , ,Daniel K. Inouye Hwy,HI,4,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,9.83826174,1,16616.023267765
21,52,8.09,19,S,19,S19, , ,Kawaihae Rd,HI,4,2,2,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,8.09449167,0,13536.4659092329
22,54,19.12,250,S,250,S250, , ,Kohala Mountain Rd,HI,4,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,19.11575783,1,33101.5227336187
23,53,26.93,270,S,270,S270, , ,Akoni Pule Hwy,HI,4,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,26.92734026,1,46426.2878593781
24,56,6.15,190,S,190,S190, , ,Mamalahoa Hwy,HI,4,2,2,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,6.15134844,1,10837.5631292605
25,57,2.12,19,S,19,S19, , ,Lindsey Rd,HI,4,2,2,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,2.12304668,0,3547.32116673432
26,6,6.31,H1,I,H1,IH1, , , ,HI,1,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,6.30711348,0,10759.6162767283
27,7,7.53,61,S,61,S61, , ,PALI HWY,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,7.53342371,0,13029.5617515062
28,8,49.1,83,S,83,S83, , ,KAHEKILI HWY,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,49.10411636,0,85455.4436571832
29,9,11.56,H3,I,H3,IH3, , , ,HI,1,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,11.55841062,0,19826.0617983733
30,10,3.92,99,S,99,S99, , ,WILIKINA DR,HI,4,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,3.91799923,0,6815.72572948366
31,59,20.79,93,S,93,S93, , ,FARRINGTON HWY,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,20.79456604,0,36245.209457981
32,60,5.76,H1,I,H1,IH1, , , ,HI,1,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,5.75697859,0,9971.63667929214
33,2,4.9,99,S,99,S99, , ,KAMEHAMEHA HWY,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,4.89688229,0,8497.20279511809
34,3,3.33,H1,I,H1,IH1, , , ,HI,1,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,3.33233553,0,5717.49700096554
35,4,2.12,H1,I,H1,IH1, , , ,HI,1,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,2.12269098,0,3768.15054744019
36,61,6.58,76,S,76,S76, , ,FORT WEAVER RD,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,6.5776703,0,11513.0454973553
37,62,3.31,H1,I,H1,IH1, , , ,HI,1,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,3.31065937,0,5632.22931155803
38,63,7.97,H2,I,H2,IH2, , , ,HI,1,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,7.97281712,0,13954.2594160973
39,64,0,H2,I,H2,IH2, , , ,HI,1,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,0.00094557,0,1.59929092412857
40,1,1.34,99,S,99,S99, , ,KAMEHAMEHA HWY,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,1.34026724,0,2273.83193163922
41,65,1.32,H1,I,H1,IH1, , , ,HI,1,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,1.31531933,0,2227.83920437016
42,5,6.05,H1,I,H1,IH201, , , ,HI,1,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,6.04992697,0,10331.5616548516
43,12,17.04,72,S,72,S72, , ,KALANIANAOLE HWY,HI,4,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,17.0395697,0,29251.6486900579
44,11,1.07,72,S,72,S72, , ,KALANIANAOLE HWY,HI,4,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,1.06926138,0,1802.65247270693
